ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0048638	regulation of developmental growth	324	0.5482001637590144	1.2423953051333314	5.8201821105604514e-8	2.791499374681588e-6	1.7909670000679886e-6	10699	tags=56%, list=29%, signal=40%	80014/9856/6792/2335/57609/999/2803/9113/5290/22999/23077/659/4534/5357/25836/9686/367/9043/23499/23414/51804/7046/55636/9037/50618/23122/9472/2932/8455/1982/23025/23394/6789/1385/6049/693175/10371/4131/2066/10939/4897/55777/5465/57057/3481/6696/5999/23236/8879/1432/5727/8829/9962/26524/51761/60485/23369/1081/25942/57698/6198/57678/657/7474/10413/3574/10269/2690/9868/6857/79068/2045/3897/5048/596/10018/27185/2844/7472/6774/23011/1630/6788/5629/83481/3720/9699/7143/5802/7490/6495/23191/9373/91584/55327/80031/9706/3643/6910/8825/23111/3516/983/5728/2247/55841/7049/150465/6259/28982/9175/57154/7429/25/4208/4133/351/2355/10743/583/585/10551/3084/10507/54440/4204/11221/7528/23566/7373/6532/55811/861/2258/2263/170302/4092/22902/57142/6777/23286/9798/127833/1027/23327/5641/6387/84944/825/7422/10370/374946/8195/7473/27230/7430/114804/5071/627/84879/3776/9254/207/2260/23105/7093/2660/7852/10013/137964/10038/1826/1848/32/6585/1785/10505/5467/5830/154
GO:0045005	DNA-templated DNA replication maintenance of fidelity	59	0.7200572537038834	1.5463978246860686	6.029912827906655e-8	2.8705085021803397e-6	1.841657586402284e-6	7654	tags=73%, list=21%, signal=58%	5965/546/259282/675/253714/10721/57697/545/672/4683/641/10111/91607/580/55159/1763/254394/9156/7486/201973/25939/84083/348654/4361/84515/8914/84893/64710/5932/55218/51750/63901/22891/10498/25842/142/54465/5428/5111/5888/146956/54962/29980
GO:0043087	regulation of GTPase activity	193	0.5870169676945958	1.3149351433161374	6.134778256775065e-8	2.8987963333309733e-6	1.859806461001283e-6	8612	tags=58%, list=23%, signal=45%	8853/3688/55785/120892/4649/1894/6792/4763/84144/2042/253959/10565/23348/5592/85440/139818/121512/5962/9693/65125/55619/50807/57148/116984/57186/25782/23161/57589/143872/7813/2932/81704/22841/2149/9712/163486/9824/11149/10125/57679/3987/4594/9827/112574/2245/22930/7474/23637/10979/64786/23143/3655/2043/8477/23677/23603/5747/8394/7074/10959/10451/7107/9448/85397/11153/55854/10928/2150/152273/51520/10276/23076/10982/5910/1398/9750/51429/2889/7248/9912/395/1123/5906/55803/26037/150696/26230/8502/10507/1124/8874/5365/5923/7052/6251/4233/4915/55920/9639/202243/51735/100528032/22914/128637/4916/1857/92154/29/23380/55114/6000/8412
GO:0030336	negative regulation of cell migration	383	0.5407768197279024	1.2293679135663582	6.659106014649704e-8	3.123414504959593e-6	2.0039167325818923e-6	11835	tags=50%, list=32%, signal=34%	340533/26585/114882/11057/4763/23213/999/58516/5592/9231/196528/7057/29956/57522/80312/5926/10672/56833/9839/90102/7046/6091/8428/23122/4286/2932/51742/1009/5928/9353/22998/3488/5911/4301/51765/25932/5796/7414/2066/89795/57826/131450/1803/493/161742/6781/2309/23236/1545/8434/1281/5793/23332/5795/55333/25942/9747/657/94241/23143/285/753/79772/2043/673/375056/286205/56254/4780/1524/23603/596/8976/1634/5797/727/55466/11235/5734/1602/90627/10718/6774/79595/5770/130399/83481/348110/4163/1605/84312/23613/90355/79685/7130/64426/80031/257144/2697/6910/8473/5931/5728/10193/2247/126820/9750/7049/4739/23189/182/5801/1845/4208/2768/1809/4035/2841/3066/11122/56999/22846/23560/57406/4838/10395/10221/4345/6672/11240/4204/5365/11221/51094/9863/9289/969/7124/5217/9901/7026/127435/100528032/22914/5912/3204/5054/4092/387/7168/140/6347/6387/23380/84034/10370/93649/1992/1588/9314/6423/27202/84830/3146/652/57413/207/90865/104/54328/63923/4771/91862/26228/3162/3622/65009/4223/5607/153090/4851/25930/3486/11314/51378/811/5879/613/10076/3065/397/79812
GO:0007051	spindle organization	203	0.5855965049441492	1.3148165696204355	6.868837369150359e-8	3.198271064073733e-6	2.0519431188057318e-6	10835	tags=67%, list=29%, signal=48%	10274/546/259266/1062/6491/79884/8243/79598/1213/10735/7175/9126/55521/9897/7272/2009/6867/140609/79866/56992/55125/9793/9787/163786/3832/24137/23122/54801/3796/1778/8658/29127/27229/9493/29899/26271/55142/9525/1739/84142/9611/3619/9371/26054/153241/54627/126731/23332/25978/6683/22974/3837/285643/81027/4751/23172/10783/6790/57562/3611/22919/54617/79441/9700/51652/114791/10426/220134/10464/10982/221150/7405/5728/55143/9750/6047/1642/55726/83540/9659/29128/55835/10615/8766/10403/4292/90417/348235/1639/9133/26065/10769/51510/891/57519/3192/51115/440145/9639/80254/25879/10579/5347/7756/57132/7415/5116/57405/4134/2770/92421/51119/387/4627/144165/6905/79000/2801/5310/152185/7430/1107/3985/54930/5901/2316/8480/2959/4926/114327/26112/4605/56647/10910/55722/11076/3833
GO:0061640	cytoskeleton-dependent cytokinesis	122	0.6334182058303308	1.4009727796642646	7.288300440850256e-8	3.3689904718973756e-6	2.1614730826869407e-6	8286	tags=60%, list=22%, signal=47%	56907/6093/1894/324/54443/9585/79884/5921/10640/65125/9475/10788/8826/55521/9897/9101/6651/10097/24137/29127/26586/9493/55770/27443/55752/9525/23233/6711/3619/23503/55165/54536/288/10112/112574/4628/10015/149371/9110/25978/6683/151011/11113/10096/989/285643/55964/23265/4735/9700/51652/55763/5000/22891/128239/55143/23176/51429/382/8766/585/60412/51510/10617/341019/1058/5347/57132/54902/9798/92421/56776/387
GO:0050673	epithelial cell proliferation	482	0.5292389295720568	1.2078160286136586	7.81262986013568e-8	3.585378840129892e-6	2.300303286346651e-6	11305	tags=54%, list=31%, signal=38%	1012/5894/3676/5469/8549/538/6868/4763/2191/23213/675/55366/4321/4853/6772/5591/10818/3091/3339/253260/659/7057/135228/130367/367/9420/6935/5925/9839/51804/7046/9037/6091/79805/1295/23411/5291/2321/3488/3791/3915/6789/5813/5796/5594/79577/10765/57343/7042/2099/5170/3357/114821/8573/1739/4893/3481/1021/7010/6667/1499/252983/5727/8829/3082/3988/60485/55333/1601/1950/657/7128/7474/10413/27152/57608/3690/1956/3037/55334/57599/5797/860/26051/11235/84280/1602/7472/6774/185/2081/405/8828/6239/5314/8805/634/6788/10000/5629/83481/2683/595/5613/8945/1232/6495/4163/2252/64127/5578/1030/5663/10016/4824/92/8837/7039/3586/3516/7494/196740/5587/7498/128239/5604/2247/5241/3815/221477/7049/695/1910/182/29128/23385/3912/9076/5080/4208/687/55145/8013/728/9788/5828/22846/80004/4838/2719/8600/7421/255324/998/567/64332/197358/5365/11221/5923/7060/1893/55294/8854/7124/4088/3664/5017/599/6664/80173/8626/100506013/2624/51208/2064/1285/4781/51098/2263/240/7026/55109/170302/57142/6591/79152/26277/6678/2138/1027/64919/6934/1019/57504/6347/6387/677/195814/7422/1296/9255/54206/3593/2069/406903/1992/2255/2246/7857/2137/57560/6423/55081/4017/2152/57521/3146/2625/5335/652/9572/1361/51092/207/282679/55840/2260/9500/26160/1621/10013/54959/3398/55612/51146/201163/3592/6431/91862/5467/3162/3150/498/5155/81285/187/6356/5607/153090/6657/1948/864/858/113174/6369/4323/1001/2524/4851/79400/8324
GO:0070085	glycosylation	242	0.5675440614646818	1.27873560894767	8.022361782260528e-8	3.6553318435028504e-6	2.3451836548442807e-6	10689	tags=63%, list=29%, signal=45%	340485/100288842/440138/84002/8693/160418/10565/11320/80267/54790/11227/9321/10905/51809/4124/84920/10466/80312/957/200424/10317/5373/2218/10690/2591/140687/4121/160335/83857/2673/84620/283464/124872/9331/56886/144245/84061/10020/4864/143888/2650/727936/23333/57511/22796/2589/7903/5238/201595/9334/6482/8706/10678/338596/84197/51301/6480/116150/2530/56913/114805/4122/140838/4249/84750/10610/51465/147991/135152/729920/64116/9488/54916/2683/84899/23509/285203/81849/117248/11261/83548/55757/9245/10724/8707/5663/10331/8473/145173/56983/10329/22906/3703/9215/9945/2132/2526/8869/79796/29071/55568/256435/85365/170384/6185/9761/2651/29929/8813/79070/9382/55858/2590/79087/2131/79695/11226/8702/8128/3600/2629/55907/1798/84752/2801/148789/2137/27230/7991/57134/63917/9528/79868/79947/282679/79644/64689/58505/91869/123264/25834/152002/56052/28/51146/93010/84342/2583/79053/57171/55808/22845/55343
GO:0010508	positive regulation of autophagy	166	0.5970281465071126	1.3317109609722155	8.756424088055511e-8	3.961505621113908e-6	2.541618279534142e-6	11004	tags=68%, list=30%, signal=48%	5286/6093/120892/140775/23352/3091/23376/10075/5563/9821/11043/25782/55187/401548/23411/220441/5291/373/2932/3791/29072/79443/92140/143686/5562/3099/9517/2309/29110/10346/112574/1612/22930/22954/94241/22926/8723/203228/8678/51322/23677/6885/1634/79837/3064/23367/10558/10241/2773/1457/51100/55128/60592/64127/3458/7957/55062/340146/7494/7405/57535/5587/10392/85363/665/5305/2308/5049/117854/64798/7319/4210/219771/55054/10769/258010/5899/8767/8396/55626/10475/64112/51375/2629/25893/27102/10206/10133/664/9776/10645/7416/292/26353/25793/6737/5071/3146/10524/9528/8878/65018/53373/201163/27244/5127/3162/8517/154/9531/10739/53840/11040
GO:0021537	telencephalon development	281	0.5618590165176203	1.2706560530660604	8.966156319412943e-8	3.971882719551053e-6	2.5482760065699945e-6	12699	tags=68%, list=34%, signal=45%	9928/120892/259266/3738/3624/50937/6506/4763/100996717/157680/79633/26047/23657/3091/8925/23224/23035/552/7804/22911/1767/6867/200894/55636/6091/51199/55236/2932/22803/9353/8648/23287/6092/10371/1000/2066/54407/64398/1021/493/6299/23236/1499/57688/85458/153241/1281/23322/200933/30837/57178/10642/7474/22903/221692/285025/653464/1956/5048/2618/26258/23603/5194/3737/84750/27185/1399/64805/10718/836/6326/8851/3480/4677/5629/3746/7143/5802/3975/91584/1902/54820/2737/8650/93986/5663/1398/5728/51377/8320/317762/79648/429/22884/9215/5649/6259/1459/5915/7248/3912/1812/5080/123016/23334/8087/583/1600/585/55054/388677/1436/4204/79048/23353/5079/9289/2048/4967/4915/6434/10579/2131/4781/2258/220/51176/170302/112840/6715/57142/6716/84678/79600/387/64919/6387/23380/26050/3251/6497/664/3736/374946/6513/8195/5901/2316/2018/2044/81565/238/84879/652/2146/56978/7852/55122/114327/3398/471/83696/4771/7531/23028/582/5830/166614/23135/55558/5454/153090/8482/29954/2145/25987/2523/3065/89839/8941/5992/9638/650/27086/25777/284403/6900/9355/8893/306/6331
GO:0043434	response to peptide hormone	445	0.5342974329326802	1.217380564377902	8.966156319412943e-8	3.971882719551053e-6	2.5482760065699945e-6	8948	tags=48%, list=24%, signal=37%	55667/54832/5286/5894/6093/114882/3624/64397/324/2200/10499/2195/5251/1536/5781/6772/5591/2241/83990/4644/5290/23607/4921/8850/8452/9475/6938/490/5925/55023/6654/6653/8615/4040/6655/890/23411/5122/2798/2549/2932/3416/5140/8648/3488/5584/1385/5594/9734/5295/26060/143686/4131/11031/5170/54765/1147/5562/2650/55777/5465/132864/3481/6599/84327/23236/7010/6667/252983/9663/2058/5579/1432/1545/8036/1373/3717/5573/3716/9365/1281/1909/2822/57492/5795/30837/6198/2475/140710/5167/23516/2706/6272/2690/3690/9852/673/990/3553/4790/10580/8743/4780/4690/2729/760/6885/5747/79837/5530/5791/10890/2844/9847/6814/6774/112/6443/7532/185/1407/5770/94056/4067/3480/8805/1979/634/10768/130399/25948/64710/55198/139596/23191/1605/23235/340706/7097/87178/8503/8792/9882/54741/4193/847/5578/23175/3643/1513/29904/8837/3586/5910/8473/7494/1398/5587/4218/3638/7049/1910/23189/9640/51141/6775/5305/6773/7248/2308/3667/123041/5080/142/4929/8013/5786/80339/5164/5743/51094/8396/6464/55022/4088/2203/8471/4882/2740/88/55625/2885/6715/790/2770/5588/1959/6777/6716/23433/1027/6387/57727/1636/677/27131/8412/9340/6337/4691/54206/23484/2069/6513/57707
GO:0009615	response to virus	424	0.5341689677301045	1.216047042386601	8.861290196492208e-8	3.971882719551053e-6	2.5482760065699945e-6	12273	tags=61%, list=33%, signal=41%	22978/55601/5788/51311/10060/4940/4321/9188/6772/4283/3091/115362/91543/51284/5610/23607/9201/23515/1654/83737/4939/9821/11043/64135/29915/256987/57724/1130/83666/3433/170506/7292/57705/10875/3694/151636/3627/8467/57337/2074/29072/57169/5611/91351/91607/11213/9213/7098/23586/54765/64343/1147/8575/3437/7728/103/3696/2633/2332/1021/56829/1432/4686/1386/10964/3717/3716/10146/24138/1665/6355/29110/10346/11274/55703/440275/25942/57678/3320/7189/1525/1660/22954/7128/10771/25939/55284/10269/10955/6041/9582/9868/8678/3553/4790/4690/4277/596/5359/3434/59067/6502/51191/201626/9217/6693/3964/3454/22948/7706/29883/8780/5366/8729/7097/11128/2150/255520/51652/115004/55763/3458/23076/26146/3459/10010/4615/9474/85363/22863/665/4600/9447/10859/84932/6773/389856/8091/57506/3428/10561/1653/3660/5683/58487/117854/10521/388646/140564/149233/2635/10625/4938/55054/26065/7334/22900/55421/146857/64771/6367/6675/8165/114548/8638/79102/84166/7124/4088/8725/23765/7187/9140/4953/51251/10621/10475/2131/4599/338/11100/730249/10533/2736/81570/3600/50943/81844/84851/163702/6387/200315/10206/9255/3687/664/3593/6351/23087/54476/8399/91445/1687/10622/7726/9111/6737/2625/5495/50489/27297/90865/4829/10758/7852/2634/104/3594/834/84101/4986/3592/8449/6039/3460/8517/10623/6356/53840/2268/57379/11040/29078/661/197259/22861/4486/3551/84871/3588/6036/5245/5987/811/439996/10379/27350/60489/5450/1755/3455/79594/84282/3609/5551/3764/164668
GO:0031023	microtubule organizing center organization	156	0.6045390856404826	1.3462848229219104	9.071022456315504e-8	3.990624293023214e-6	2.56030020400397e-6	9587	tags=64%, list=26%, signal=48%	85459/675/6491/79884/9648/8850/9475/4659/7840/672/9738/5311/56992/55125/9793/51199/163786/3832/9662/23122/23411/137886/10733/54801/4591/23291/11127/55142/23032/9525/117178/1499/9371/84612/153241/5108/23332/151648/7516/54875/10015/79959/7514/25914/25978/91147/26973/282809/166979/6566/22995/5048/348654/26005/4751/1111/6790/5314/79441/64793/51652/54820/56890/80817/983/7405/22873/79648/9659/55835/23177/10403/1639/9851/585/10769/159989/1017/51510/345643/55226/79839/9639/80254/5347/55755/57132/10806/92421/84084/51175/2801/57710/4869/152185/1107/54930/899/81565/253012
GO:0007179	transforming growth factor beta receptor signaling pathway	250	0.5664169833124676	1.2766637810154426	9.490487134474614e-8	4.146562837726957e-6	2.6603470785030495e-6	11329	tags=56%, list=31%, signal=39%	8239/9480/2200/6868/8754/2033/58516/9113/283149/54778/7057/135228/80312/2201/5926/6935/9839/9372/7046/4090/6498/81031/23411/4015/51592/3694/51742/23592/23089/5928/58533/5796/57045/26060/7042/5170/64750/28996/200734/7048/5465/64398/3696/161742/30001/83891/1281/26524/5494/25942/4052/1601/50515/57178/3248/657/10979/9392/753/9110/2530/1387/26036/9958/255743/6885/5747/6386/8516/90/54829/6774/79595/55198/203100/84312/4086/79685/64426/4087/1278/1030/8473/7494/5931/64081/7049/11171/4089/57154/51701/8483/142/4053/3066/2734/3326/9404/4838/4093/2651/399473/4088/65997/6664/54756/9315/1003/3309/10252/4092/10370/6497/93649/22938/5678/2331/3175/2615/2660/8848/4693/7043/55612/27122/201163/2661/63976/3622/5829/7157/10253/6714/79674/2339/56937/858/1001/3693/57190
