query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,7.539458322796456e-7,58,3830,30,0.007832898172323759,0.5172413793103449,GO:0035329,GO:BP,hippo signaling,21026,8907,
query_1,TRUE,7.539458322796456e-7,124,2094,35,0.016714422158548233,0.28225806451612906,GO:0061640,GO:BP,cytoskeleton-dependent cytokinesis,21026,15382,
query_1,TRUE,7.658929514461831e-7,104,4109,46,0.011194937941104892,0.4423076923076923,GO:0051310,GO:BP,metaphase chromosome alignment,21026,13459,
query_1,TRUE,8.538870672145639e-7,174,3429,59,0.017206182560513268,0.3390804597701149,GO:0018105,GO:BP,peptidyl-serine phosphorylation,21026,5299,
query_1,TRUE,8.710528970153949e-7,3288,3623,681,0.18796577422025945,0.2071167883211679,GO:0010604,GO:BP,positive regulation of macromolecule metabolic process,21026,4234,
query_1,TRUE,9.032571952970682e-7,30,3906,20,0.005120327700972862,0.6666666666666666,GO:0051984,GO:BP,positive regulation of chromosome segregation,21026,13852,
query_1,TRUE,9.407734676936438e-7,6264,3993,1337,0.3348359629351365,0.2134418901660281,GO:0048518,GO:BP,positive regulation of biological process,21026,12634,
query_1,TRUE,9.407734676936438e-7,999,2669,188,0.0704383664293743,0.1881881881881882,GO:0007017,GO:BP,microtubule-based process,21026,2612,
query_1,TRUE,1.431294293656273e-6,143,4460,60,0.013452914798206279,0.4195804195804196,GO:2000779,GO:BP,regulation of double-strand break repair,21026,25586,
query_1,TRUE,1.4858989823807192e-6,202,2072,47,0.022683397683397683,0.23267326732673269,GO:0000082,GO:BP,G1/S transition of mitotic cell cycle,21026,31,
query_1,TRUE,1.5652538350602664e-6,725,3370,173,0.0513353115727003,0.2386206896551724,GO:0006338,GO:BP,chromatin remodeling,21026,2118,
query_1,TRUE,1.6877420943077361e-6,334,2904,84,0.028925619834710745,0.25149700598802394,GO:0006913,GO:BP,nucleocytoplasmic transport,21026,2551,
query_1,TRUE,1.6877420943077361e-6,334,2904,84,0.028925619834710745,0.25149700598802394,GO:0051169,GO:BP,nuclear transport,21026,13372,
query_1,TRUE,1.690636495753981e-6,93,3960,41,0.010353535353535354,0.44086021505376344,GO:1901992,GO:BP,positive regulation of mitotic cell cycle phase transition,21026,21637,
query_1,TRUE,1.8666715719399884e-6,517,2311,99,0.04283859800951969,0.19148936170212766,GO:0051493,GO:BP,regulation of cytoskeleton organization,21026,13562,
query_1,TRUE,2.090288883539864e-6,124,3975,50,0.012578616352201259,0.4032258064516129,GO:0045931,GO:BP,positive regulation of mitotic cell cycle,21026,11563,
query_1,TRUE,2.265212819747387e-6,2457,3949,563,0.14256773866801722,0.22914122914122914,GO:0050793,GO:BP,regulation of developmental process,21026,13089,
query_1,TRUE,2.7147631069463154e-6,50,2630,22,0.008365019011406844,0.44,GO:0007019,GO:BP,microtubule depolymerization,21026,2614,
query_1,TRUE,2.7147631069463154e-6,1105,4005,282,0.07041198501872659,0.25520361990950224,GO:0051130,GO:BP,positive regulation of cellular component organization,21026,13334,
query_1,TRUE,2.7147631069463154e-6,1592,4777,451,0.09441071802386435,0.2832914572864322,GO:0016192,GO:BP,vesicle-mediated transport,21026,5143,
query_1,TRUE,2.9261536546433095e-6,54,3906,28,0.007168458781362007,0.5185185185185185,GO:0008608,GO:BP,attachment of spindle microtubules to kinetochore,21026,3191,
query_1,TRUE,3.027919210687062e-6,834,2170,136,0.06267281105990784,0.1630695443645084,GO:0034330,GO:BP,cell junction organization,21026,8509,
query_1,TRUE,3.8599162552090565e-6,120,2105,33,0.015676959619952493,0.275,GO:0006275,GO:BP,regulation of DNA replication,21026,2083,
query_1,TRUE,3.903519085799675e-6,446,4919,154,0.03130717625533645,0.3452914798206278,GO:0022411,GO:BP,cellular component disassembly,21026,6570,
query_1,TRUE,3.903519085799675e-6,59,5413,35,0.0064659153888786255,0.5932203389830508,GO:0045005,GO:BP,DNA-templated DNA replication maintenance of fidelity,21026,11069,
query_1,TRUE,3.9955860717196725e-6,140,2989,45,0.015055202408832385,0.32142857142857145,GO:0007098,GO:BP,centrosome cycle,21026,2668,
query_1,TRUE,4.324550586209133e-6,6553,2418,869,0.35938792390405294,0.1326110178544178,GO:0032502,GO:BP,developmental process,21026,7558,
query_1,TRUE,4.792910389024039e-6,230,2072,50,0.02413127413127413,0.21739130434782608,GO:0044843,GO:BP,cell cycle G1/S phase transition,21026,11039,
query_1,TRUE,5.059918023205729e-6,1444,4541,394,0.08676502972913455,0.27285318559556787,GO:0015031,GO:BP,protein transport,21026,4772,
query_1,TRUE,5.469089883982014e-6,76,5284,41,0.007759273277819834,0.5394736842105263,GO:0090307,GO:BP,mitotic spindle assembly,21026,17953,
query_1,TRUE,5.578259401788552e-6,105,2355,32,0.013588110403397028,0.3047619047619048,GO:0010389,GO:BP,regulation of G2/M transition of mitotic cell cycle,21026,4082,
query_1,TRUE,6.106189260875382e-6,996,2235,159,0.07114093959731543,0.15963855421686746,GO:0000902,GO:BP,cell morphogenesis,21026,238,
query_1,TRUE,6.692757071579722e-6,118,4515,51,0.011295681063122924,0.4322033898305085,GO:0051303,GO:BP,establishment of chromosome localization,21026,13452,
query_1,TRUE,7.80379451827571e-6,663,4236,189,0.04461756373937677,0.2850678733031674,GO:0048589,GO:BP,developmental growth,21026,12693,
query_1,TRUE,8.576542973606946e-6,12,2024,9,0.004446640316205534,0.75,GO:0060623,GO:BP,regulation of chromosome condensation,21026,14587,
query_1,TRUE,9.94478478990543e-6,1049,4163,275,0.06605813115541677,0.2621544327931363,GO:0031399,GO:BP,regulation of protein modification process,21026,7116,
query_1,TRUE,9.961713730515594e-6,9,1344,7,0.005208333333333333,0.7777777777777778,GO:0034085,GO:BP,establishment of sister chromatid cohesion,21026,8333,
query_1,TRUE,1.008121445412664e-5,2782,4123,648,0.15716711132670386,0.23292595255212079,GO:0070727,GO:BP,cellular macromolecule localization,21026,16048,
