ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046822	regulation of nucleocytoplasmic transport	3/10	118/18986	0.025423728813559324	48.26949152542373	11.823933143626434	2.7204586529610717e-5	0.015841954996152853	0.008299090255022549	EP300/SETD2/XPO1	3
GO:0032727	positive regulation of interferon-alpha production	2/10	25/18986	0.08	151.888	17.32993972410502	7.442398640795671e-5	0.015841954996152853	0.008299090255022549	DDX3X/SETD2	2
GO:0032607	interferon-alpha production	2/10	31/18986	0.06451612903225806	122.49032258064514	15.540450438486246	1.151628445846051e-4	0.015841954996152853	0.008299090255022549	DDX3X/SETD2	2
GO:0032647	regulation of interferon-alpha production	2/10	31/18986	0.06451612903225806	122.49032258064514	15.540450438486246	1.151628445846051e-4	0.015841954996152853	0.008299090255022549	DDX3X/SETD2	2
GO:0060325	face morphogenesis	2/10	32/18986	0.0625	118.6625	15.292045713288253	1.2280585268335546e-4	0.015841954996152853	0.008299090255022549	EP300/NIPBL	2
GO:0060323	head morphogenesis	2/10	39/18986	0.05128205128205128	97.36410256410257	13.828667104336397	1.8310545620142888e-4	0.019635193977394515	0.010286246049357227	EP300/NIPBL	2
GO:0048701	embryonic cranial skeleton morphogenesis	2/10	45/18986	0.044444444444444446	84.38222222222223	12.855270961951692	2.442226762335329e-4	0.019635193977394515	0.010286246049357227	NIPBL/SETD2	2
GO:0000209	protein polyubiquitination	3/10	263/18986	0.011406844106463879	21.65703422053232	7.743924131370562	2.934395916577921e-4	0.019635193977394515	0.010286246049357227	TRIP12/DDX3X/HUWE1	3
GO:0032386	regulation of intracellular transport	3/10	272/18986	0.011029411764705883	20.94044117647059	7.603943251736135	3.2391814008896704e-4	0.019635193977394515	0.010286246049357227	EP300/SETD2/XPO1	3
GO:0010171	body morphogenesis	2/10	52/18986	0.038461538461538464	73.02307692307693	11.93864727936575	3.2646750368861267e-4	0.019635193977394515	0.010286246049357227	EP300/NIPBL	2
GO:0060324	face development	2/10	53/18986	0.03773584905660377	71.64528301886791	11.822636899044607	3.3917481666675514e-4	0.019635193977394515	0.010286246049357227	EP300/NIPBL	2
GO:0045778	positive regulation of ossification	2/10	55/18986	0.03636363636363636	69.03999999999999	11.600102770166545	3.653059344631538e-4	0.019635193977394515	0.010286246049357227	NIPBL/SETD2	2
GO:0006473	protein acetylation	2/10	59/18986	0.03389830508474576	64.35932203389831	11.189188779775828	4.2042841671619186e-4	0.02070526092940462	0.010846819679051626	EP300/DDX3X	2
GO:0071168	protein localization to chromatin	2/10	61/18986	0.03278688524590164	62.24918032786885	10.998924461582913	4.494165162971545e-4	0.02070526092940462	0.010846819679051626	NIPBL/SETD2	2
GO:0006913	nucleocytoplasmic transport	3/10	340/18986	0.008823529411764706	16.752352941176472	6.728139962973827	6.221598477314372e-4	0.020849348877748083	0.010922302716861908	EP300/SETD2/XPO1	3
GO:0051169	nuclear transport	3/10	340/18986	0.008823529411764706	16.752352941176472	6.728139962973827	6.221598477314372e-4	0.020849348877748083	0.010922302716861908	EP300/SETD2/XPO1	3
GO:0071214	cellular response to abiotic stimulus	3/10	342/18986	0.008771929824561403	16.65438596491228	6.70629275510164	6.328837000163544e-4	0.020849348877748083	0.010922302716861908	EP300/NIPBL/DDX3X	3
GO:0104004	cellular response to environmental stimulus	3/10	342/18986	0.008771929824561403	16.65438596491228	6.70629275510164	6.328837000163544e-4	0.020849348877748083	0.010922302716861908	EP300/NIPBL/DDX3X	3
GO:0006406	mRNA export from nucleus	2/10	74/18986	0.02702702702702703	51.31351351351352	9.954850479592452	6.608999778185138e-4	0.020849348877748083	0.010922302716861908	SETD2/XPO1	2
GO:0032481	positive regulation of type I interferon production	2/10	75/18986	0.02666666666666667	50.629333333333335	9.885867621657438	6.788160099731933e-4	0.020849348877748083	0.010922302716861908	DDX3X/SETD2	2
GO:1904888	cranial skeletal system development	2/10	75/18986	0.02666666666666667	50.629333333333335	9.885867621657438	6.788160099731933e-4	0.020849348877748083	0.010922302716861908	NIPBL/SETD2	2
GO:0010506	regulation of autophagy	3/10	373/18986	0.00804289544235925	15.270241286863271	6.389700592320323	8.145830163269887e-4	0.023882092978677622	0.012511059724448012	EP300/SETD2/HUWE1	3
GO:0001892	embryonic placenta development	2/10	87/18986	0.022988505747126436	43.64597701149425	9.152110334186826	9.120360243356566e-4	0.024510968154020773	0.012840507184725694	BPTF/SETD2	2
GO:0007492	endoderm development	2/10	87/18986	0.022988505747126436	43.64597701149425	9.152110334186826	9.120360243356566e-4	0.024510968154020773	0.012840507184725694	BPTF/SETD2	2
GO:0045995	regulation of embryonic development	2/10	91/18986	0.02197802197802198	41.72747252747253	8.940003160518655	9.972175363335927e-4	0.025019052375465207	0.01310667615263049	TRIP12/NIPBL	2
GO:0043543	protein acylation	2/10	93/18986	0.021505376344086023	40.83010752688172	8.839047255434298	0.0010411963489826456	0.025019052375465207	0.01310667615263049	EP300/DDX3X	2
GO:0006405	RNA export from nucleus	2/10	95/18986	0.021052631578947368	39.97052631578947	8.741250472396366	0.0010860983976946138	0.025019052375465207	0.01310667615263049	SETD2/XPO1	2
GO:0048704	embryonic skeletal system morphogenesis	2/10	95/18986	0.021052631578947368	39.97052631578947	8.741250472396366	0.0010860983976946138	0.025019052375465207	0.01310667615263049	NIPBL/SETD2	2
GO:0048568	embryonic organ development	3/10	458/18986	0.006550218340611353	12.436244541484715	5.687283351536852	0.0014748469857131955	0.030486616804862043	0.01597095715113948	BPTF/NIPBL/SETD2	3
GO:0031398	positive regulation of protein ubiquitination	2/10	112/18986	0.017857142857142856	33.903571428571425	8.017205960714604	0.0015048159777009465	0.030486616804862043	0.01597095715113948	DDX3X/HUWE1	2
GO:0072594	establishment of protein localization to organelle	3/10	462/18986	0.006493506493506494	12.32857142857143	5.658896017378686	0.0015122219707372775	0.030486616804862043	0.01597095715113948	EP300/NIPBL/HUWE1	3
GO:0010821	regulation of mitochondrion organization	2/10	114/18986	0.017543859649122806	33.30877192982456	7.942676552270452	0.0015584092696372372	0.030486616804862043	0.01597095715113948	EP300/HUWE1	2
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	3/10	467/18986	0.006423982869379015	12.196573875802997	5.623902583507654	0.0015597803946673602	0.030486616804862043	0.01597095715113948	TRIP12/UBXN7/XPO1	3
GO:0031329	regulation of cellular catabolic process	3/10	472/18986	0.006355932203389831	12.067372881355933	5.589441008621142	0.0016082786545684516	0.030509992123430918	0.01598320272806418	EP300/SETD2/HUWE1	3
GO:0030278	regulation of ossification	2/10	125/18986	0.016	30.3776	7.564703790676468	0.001869334362478274	0.033249018892434944	0.017418090680492236	NIPBL/SETD2	2
GO:0034502	protein localization to chromosome	2/10	126/18986	0.015873015873015872	30.136507936507932	7.532773219426824	0.001898951012775226	0.033249018892434944	0.017418090680492236	NIPBL/SETD2	2
GO:0032479	regulation of type I interferon production	2/10	128/18986	0.015625	29.665625	7.470016295444813	0.0019588569269961675	0.033249018892434944	0.017418090680492236	DDX3X/SETD2	2
