STRING_id	gene	degree	betweenness
9606.ENSP00000377148	AP1G1	18	469.0425332544254
9606.ENSP00000379346	ADNP	18	52.52663203857075
9606.ENSP00000386458	PRPF40A	18	75.49486039703207
9606.ENSP00000377275	GOLGB1	18	408.3460698188829
9606.ENSP00000379721	USP8	18	310.53936650159295
9606.ENSP00000396068	UBR3	18	70.97826474603106
9606.ENSP00000417078	DHX36	18	71.47119515477655
9606.ENSP00000216277	PAPOLA	16	143.90658577203655
9606.ENSP00000257430	APC	16	601.4403157722784
9606.ENSP00000264110	ATF2	16	96.9806949091896
9606.ENSP00000307078	KIF5B	16	249.23115047316892
9606.ENSP00000351416	ANKRD17	16	69.96618255233544
9606.ENSP00000368475	ZFX	16	25.271938828508816
9606.ENSP00000379847	ZNF143	16	27.26425874452948
9606.ENSP00000387246	MAP3K2	16	139.92053493648208
9606.ENSP00000384823	FBXO11	16	62.03358881075935
9606.ENSP00000387361	SBNO1	16	182.96890627600982
9606.ENSP00000420294	PHC3	16	456.2614217964297
9606.ENSP00000435210	BCLAF1	16	60.22185865252989
9606.ENSP00000442318	CAND1	16	587.2380338383207
9606.ENSP00000457466	CHD9	16	16.317576532513957
9606.ENSP00000225388	NUFIP2	14	53.947795622505424
9606.ENSP00000258399	USP37	14	186.5828983292763
9606.ENSP00000264380	PIKFYVE	14	321.5758820734648
9606.ENSP00000265343	AFF4	14	58.61639082210024
9606.ENSP00000265970	PIK3C2A	14	142.68389353604232
9606.ENSP00000308741	CLOCK	14	113.22867934932889
9606.ENSP00000296782	RICTOR	14	58.715957570559205
9606.ENSP00000291574	TRAPPC10	14	299.57400032521207
9606.ENSP00000294383	USP24	14	53.98782999741393
9606.ENSP00000350386	CHM	14	776.6392222575588
9606.ENSP00000351250	TRIM33	14	211.5715500218327
9606.ENSP00000358071	SEC23IP	14	270.833400038207
9606.ENSP00000379350	ITGB1	14	165.92930086414296
9606.ENSP00000382697	ROCK1	14	242.91135141946182
9606.ENSP00000389168	PPP1R12A	14	123.847311905957
9606.ENSP00000480499	ITCH	14	101.67552147752075
9606.ENSP00000255305	XPO4	12	0.7888888888888891
9606.ENSP00000261842	AP4E1	12	581.690373016488
9606.ENSP00000260818	DNAJC13	12	130.52777060355422
9606.ENSP00000261716	TAOK1	12	133.29964226779123
9606.ENSP00000261537	MIB1	12	296.5708218393663
9606.ENSP00000292782	DCUN1D1	12	231.74055679273593
9606.ENSP00000314067	PAK2	12	77.60955172420671
9606.ENSP00000267622	TRIP11	12	141.42430463045022
9606.ENSP00000348965	DYNC1H1	12	356.0365906981648
9606.ENSP00000329419	COPB2	12	101.3678903618395
9606.ENSP00000358159	ASCC3	12	51.691948004492346
9606.ENSP00000349305	GOLGA4	12	378.0345138751588
9606.ENSP00000311816	REST	12	103.83599274662646
9606.ENSP00000354061	SCYL2	12	310.50446899465487
9606.ENSP00000378855	SOCS4	12	110.02243176024038
9606.ENSP00000433146	USP47	12	64.87534789712267
9606.ENSP00000483228	PPP4R3B	12	318.5048830456472
9606.ENSP00000484713	WASHC4	12	283.9648073367575
9606.ENSP00000242351	ZC3HAV1	10	49.00143961834356
9606.ENSP00000263918	STRN	10	109.36863620581614
9606.ENSP00000273398	ATP6V1A	10	51.932788468681224
9606.ENSP00000263956	GTF3C3	10	87.67683882967405
9606.ENSP00000264276	ALS2	10	288.32481528486966
9606.ENSP00000297135	COG5	10	215.0176788275217
9606.ENSP00000339109	ANAPC1	10	123.0977649635693
9606.ENSP00000363228	RBM12	10	268.2555341133922
9606.ENSP00000383920	ASXL2	10	80.8041187560973
9606.ENSP00000381823	SEC24A	10	88.11510105865585
9606.ENSP00000394791	SENP1	10	25.160123436061983
9606.ENSP00000359740	ZNF451	10	20.01443721573648
9606.ENSP00000428564	SEC24B	10	40.84685175691839
9606.ENSP00000457991	PHLPP2	10	73.89715120852674
9606.ENSP00000259253	UGGT1	8	406.5265397842708
9606.ENSP00000272638	UBXN4	8	1.1574756512837006
9606.ENSP00000265069	ZFR	8	8.286579257207768
9606.ENSP00000243326	RIF1	8	13.235780937411054
9606.ENSP00000258886	IREB2	8	44.57434691811644
9606.ENSP00000266712	TMTC3	8	116.22403211112737
9606.ENSP00000300659	NFATC3	8	2.7840462757854056
9606.ENSP00000303434	USP38	8	188.22318758725262
9606.ENSP00000308369	LEMD3	8	9.712343265069967
9606.ENSP00000347244	ITSN2	8	219.7353453324254
9606.ENSP00000354681	OPA1	8	50.2283680377152
9606.ENSP00000360689	TNKS2	8	36.1723951539252
9606.ENSP00000361892	STK4	8	52.37822059570493
9606.ENSP00000282344	USP12	8	57.05137178441726
9606.ENSP00000367220	ACTR2	8	353.7145296470264
9606.ENSP00000362268	APOOL	8	54.01257238538963
9606.ENSP00000361219	GTF3C4	8	20.196039373933132
9606.ENSP00000382241	QSER1	8	283.1774852063762
9606.ENSP00000393183	DCAF1	8	8.499154502272495
9606.ENSP00000385000	KIF2A	8	30.847118775144082
9606.ENSP00000400717	GNA13	8	74.35417731148343
9606.ENSP00000392709	NDUFS1	8	110.82830024615672
