category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Genetic Information Processing	Information processing in viruses	hsa03250	Viral life cycle - HIV-1	2/9	64/9500	0.03125	32.986111111111114	7.9060885508120045	0.0015602048523378573	0.053046964979487146	0.0443426642243391	EP300/XPO1	2
Genetic Information Processing	Folding, sorting and degradation	hsa04120	Ubiquitin mediated proteolysis	2/9	142/9500	0.014084507042253521	14.86697965571205	5.1267098866784115	0.007455774398617767	0.07420541943684855	0.06202929798126659	TRIP12/HUWE1	2
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	2/9	158/9500	0.012658227848101266	13.361462728551336	4.824837462966889	0.009164712956263529	0.07420541943684855	0.06202929798126659	EP300/NIPBL	2
Human Diseases	Infectious disease: viral	hsa05161	Hepatitis B	2/9	163/9500	0.012269938650306749	12.951601908657123	4.739368237217445	0.00973183724134308	0.07420541943684855	0.06202929798126659	EP300/DDX3X	2
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	2/9	173/9500	0.011560693641618497	12.202954399486192	4.579191893621384	0.010912561681889492	0.07420541943684855	0.06202929798126659	EP300/XPO1	2
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	2/9	205/9500	0.00975609756097561	10.29810298102981	4.1442962916738955	0.015096835511833535	0.08554873456705671	0.07151132610868516	EP300/DDX3X	2
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	2/9	224/9500	0.008928571428571428	9.424603174603174	3.9291381987319083	0.01786429835649597	0.08676944916012327	0.07253173768802874	EP300/XPO1	2
