STRING_id	gene	degree	betweenness	logFC	adj.P.Val
9606.ENSP00000263253	EP300	94	3098.822680343664	2.4333606437202113	1.4812848391645921e-64
9606.ENSP00000307208	BPTF	78	1664.5137627575195	2.582889406412371	9.218299852648484e-68
9606.ENSP00000373696	TRIP12	78	2215.981225935102	2.1311623698640467	3.3117250312813715e-81
9606.ENSP00000282516	NIPBL	66	1421.7188371064142	2.269374263446432	2.8839252806743765e-78
9606.ENSP00000382840	DDX3X	66	1576.364317657256	2.246968847666873	4.2241005107549716e-83
9606.ENSP00000386759	SETD2	64	787.8627520562579	1.9985602161514373	5.791605096883979e-65
9606.ENSP00000296328	UBXN7	60	1427.18622442112	2.2741346714694175	1.5549980052119706e-69
9606.ENSP00000384863	XPO1	60	1894.6739513719301	1.7763117105955106	3.5867193457296246e-68
9606.ENSP00000367203	KDM6A	56	792.7298832840245	2.6218158811593115	3.7519714755896566e-71
9606.ENSP00000340648	HUWE1	52	926.569126153482	2.243453575542721	1.8285979812114382e-82
9606.ENSP00000283131	SMARCA5	50	740.4964825046965	2.0079298576592404	3.177878561275722e-70
9606.ENSP00000370625	POLR2B	50	860.3087500273047	2.4081641304319676	2.319358067340367e-65
9606.ENSP00000263967	PIK3CA	48	1254.326837216818	2.3371426338368426	2.7326409134482742e-74
9606.ENSP00000290650	UBR1	48	1850.48407271811	2.571959734638734	7.406115301565901e-65
9606.ENSP00000320949	CNOT1	48	599.2059844341435	3.410532869469496	5.244561169762654e-71
9606.ENSP00000218089	STAG2	46	627.9060042274905	2.2742545979651285	1.0638134374584456e-67
9606.ENSP00000264951	XRN1	46	1189.0788206020816	2.5169554755211783	3.2952267844620194e-76
9606.ENSP00000316357	USP9X	46	762.334547991555	2.8759418209522702	1.8572077325274063e-125
9606.ENSP00000324806	GSK3B	46	1266.1222663624808	2.036237445692813	2.8725448261149886e-74
9606.ENSP00000335321	SF3B1	46	1182.4930755679013	1.8458385463481848	1.1331837561712419e-70
9606.ENSP00000429084	UBR5	46	852.7611136765881	2.6208507999742388	2.562506877046915e-69
9606.ENSP00000362441	ATRX	44	440.02092016693945	2.6636844030580455	8.36494994126108e-78
9606.ENSP00000283195	RANBP2	42	769.2829461525884	2.222362624023621	5.554427090858101e-71
9606.ENSP00000381577	USP34	42	417.15332421849376	3.650533568551942	9.18542940965081e-67
9606.ENSP00000382863	CHD8	42	213.89699191012892	1.8434068806623585	2.7575480061717763e-67
9606.ENSP00000478754	DDX6	42	816.8797048305095	1.9520481527310816	8.595407468170516e-68
9606.ENSP00000393596	BIRC6	40	527.9600177935712	2.6587723351317605	3.233458106114566e-82
9606.ENSP00000406549	TAF1	40	691.6463514141113	2.339264446138004	1.918452143541579e-65
9606.ENSP00000444029	NUP153	40	538.9330602702275	2.5250054038650305	2.778225208957049e-67
9606.ENSP00000264010	CTCF	38	679.0158943976224	1.641076415272961	5.1944057670156224e-65
9606.ENSP00000343741	ATR	38	727.7819832598301	2.204562765126792	2.0722916846012304e-76
9606.ENSP00000303427	PDS5A	36	523.1076618701552	2.01524117509649	3.7016104181352044e-67
9606.ENSP00000338173	PUM2	36	647.8969254041435	1.8248267328150083	5.5012720999666246e-67
9606.ENSP00000402515	SMG1	36	408.16019855689933	2.4250557730544577	2.7326409134482742e-74
9606.ENSP00000224140	SETX	34	360.0145910868128	2.3174451729516536	1.0854322317502783e-79
9606.ENSP00000316032	NUP98	34	218.33097984858256	1.88404054121982	7.068346494395143e-68
9606.ENSP00000364403	UBR4	34	493.3125970021318	2.350950730933508	2.4454175494867272e-67
9606.ENSP00000365576	UBQLN1	34	562.5325185340579	1.9141082156374256	8.4230450856883e-64
9606.ENSP00000376204	ASH1L	34	212.6307562247229	2.53594986178212	1.4428230294115605e-64
9606.ENSP00000229795	MAPK14	32	548.9894342781018	1.8592886356193512	2.992483913634681e-69
9606.ENSP00000323421	SMC1A	32	136.274947547652	2.412490459737104	1.7916908727848487e-68
9606.ENSP00000362774	RC3H2	32	643.9020496561421	2.3587929104654912	9.688637318326871e-77
9606.ENSP00000387699	CREB1	32	235.16108929477696	1.987684628533139	7.608703269225383e-74
9606.ENSP00000384109	CUL4B	32	441.25281840553964	1.8855645006041848	7.502868629516209e-70
9606.ENSP00000395929	NSD1	32	107.43169533390996	2.2265054758881413	8.392303210797153e-72
9606.ENSP00000261900	CCNT1	30	615.4782441670496	2.1282701965189625	5.10711812894347e-73
9606.ENSP00000313454	UBA6	30	380.68312616821396	2.080015931432836	2.319358067340367e-65
9606.ENSP00000329967	TBK1	30	673.448477767768	1.8209739387334705	4.3057424091340454e-67
9606.ENSP00000340944	PTPN11	30	368.6529235976106	2.424230635455414	1.1518500487164134e-66
9606.ENSP00000351575	BDP1	30	523.3582530593646	2.6807179661427556	6.451460327663094e-64
