logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl_id	ensembl_clean
2.8759418209522702	13.348739141619074	55.11124923255761	3.061667874262127e-130	1.8572077325274063e-125	286.3778996552226	ENSG00000124486.13	ENSG00000124486
2.322964224420909	11.935221108514725	34.305816009425754	5.5553514009865015e-90	1.684938079919206e-85	194.83465625294747	ENSG00000138246.17	ENSG00000138246
2.246968847666873	14.145202180578824	33.21590532122052	2.089070480096425e-87	4.2241005107549716e-83	188.9439493226114	ENSG00000215301.11	ENSG00000215301
2.5350323308191793	11.84084033015799	33.002483157451124	6.774651313268972e-87	1.0273758716572394e-82	187.7748756491986	ENSG00000180182.11	ENSG00000180182
2.243453575542721	14.194947453159443	32.857936913799435	1.5072518803259468e-86	1.8285979812114385e-82	186.9801540016555	ENSG00000086758.16	ENSG00000086758
2.6587723351317605	12.495963220031792	32.72233625158844	3.1982770584713808e-86	3.233458106114566e-82	186.2324533433088	ENSG00000115760.14	ENSG00000115760
2.1311623698640467	13.428814728828806	32.27783851473998	3.8216411505060333e-85	3.3117250312813715e-81	183.7667342703759	ENSG00000153827.14	ENSG00000153827
1.9571263639711225	11.283539014088497	32.07241222934721	1.2118105233472678e-84	9.188553293280655e-81	182.6195007401764	ENSG00000114030.13	ENSG00000114030
2.3174451729516536	12.34291055111142	31.61499792620539	1.6104335782645078e-83	1.0854322317502783e-79	180.04738215286795	ENSG00000107290.14	ENSG00000107290
2.39098185525805	11.474346538592435	31.53794214695079	2.4959658816861825e-83	1.5140529038308383e-79	179.6116772767309	ENSG00000144357.18	ENSG00000144357
2.2574655398191124	11.636692275729809	31.520070379953054	2.7632305422582165e-83	1.523796042667122e-79	179.51052342881968	ENSG00000163848.20	ENSG00000163848
2.174407664745874	13.731420559135024	31.417980747717937	4.9441061954452415e-83	2.4992456817975702e-79	178.93197828949246	ENSG00000159140.21	ENSG00000159140
2.269374263446432	12.352701204039247	30.977214544360223	6.180519065078617e-82	2.8839252806743765e-78	176.42002044800674	ENSG00000164190.19	ENSG00000164190
2.3841926051882347	11.813799906029455	30.854549694736004	1.2533045403222942e-81	5.430389529710742e-78	175.71684599632803	ENSG00000136021.19	ENSG00000136021
2.6636844030580455	12.204068349320258	30.76780139460022	2.0684841595601087e-81	8.36494994126108e-78	175.21848030012342	ENSG00000085224.23	ENSG00000085224
2.5602311328265115	11.30490134797208	30.739605687267307	2.4347809332726417e-81	8.7660668935989065e-78	175.0563036163272	ENSG00000143970.17	ENSG00000143970
2.1825433172259396	10.720730910279997	30.73805659503211	2.456695304833192e-81	8.7660668935989065e-78	175.04739076179706	ENSG00000066422.5	ENSG00000066422
2.393227120017093	11.872119993437584	30.63584220908453	4.440081352776847e-81	1.4963074158857977e-77	174.45865619264046	ENSG00000080345.18	ENSG00000080345
2.453947736302923	12.104906055110336	30.349062417333	2.3519239094407454e-80	7.508826544561874e-77	172.80017480540596	ENSG00000135837.16	ENSG00000135837
2.216202308616393	11.81180712787092	30.312256924743085	2.9150948685023848e-80	8.841482736167733e-77	172.58660837028117	ENSG00000078747.16	ENSG00000078747
2.3587929104654912	11.657858654100462	30.28821886048541	3.3541276571853662e-80	9.688637318326871e-77	172.44703770556774	ENSG00000056586.16	ENSG00000056586
2.204562765126792	11.059104761311154	30.150203632075044	7.515729815566611e-80	2.0722916846012304e-76	171.64433943257976	ENSG00000175054.16	ENSG00000175054
2.241822475918199	11.890281590959043	30.059092684578545	1.2818084581082006e-79	3.2952267844620194e-76	171.1131755140772	ENSG00000169967.16	ENSG00000169967
2.195103472315392	11.082473972005053	30.050538753596005	1.3477601493395028e-79	3.2952267844620194e-76	171.0632557113941	ENSG00000162378.13	ENSG00000162378
2.5169554755211783	11.202763842967157	30.049239353849376	1.358072364186457e-79	3.2952267844620194e-76	171.05567178165313	ENSG00000114127.11	ENSG00000114127
2.2114798379938163	13.15622820303934	29.99795476009783	1.8350317055499838e-79	4.2812701253331545e-76	170.75618653494996	ENSG00000111530.13	ENSG00000111530
2.225491514102484	12.639836357707832	29.958863193009496	2.308749802150589e-79	5.1869912221649896e-76	170.52769040785935	ENSG00000083312.17	ENSG00000083312
2.04363446443389	11.855817857869216	29.931641973007437	2.7093966248867076e-79	5.869714259486704e-76	170.3684687495164	ENSG00000024048.11	ENSG00000024048
2.639785588677805	10.834153118739817	29.805434270292466	5.696191168721228e-79	1.1914860561883778e-75	169.62908178670827	ENSG00000102189.17	ENSG00000102189
1.9922177752554968	12.695379097740798	29.43199528062348	5.192031677967861e-78	1.0498288052851016e-74	167.42992246423694	ENSG00000196504.19	ENSG00000196504
3.6741593053740815	8.947527549121707	29.36591003948834	7.690244930474173e-78	1.5048072822018168e-74	167.03897462851765	ENSG00000144426.18	ENSG00000144426
2.2725314041947455	11.844271442610449	29.358162238301148	8.052979563532993e-78	1.5265429385122226e-74	166.99310502959997	ENSG00000198162.12	ENSG00000198162
2.3371426338368426	10.77461621918582	29.251506101846193	1.5199294777817436e-77	2.7326409134482742e-74	166.3609159325305	ENSG00000121879.6	ENSG00000121879
2.4250557730544577	12.784429427833294	29.248707203356823	1.5455066311660906e-77	2.7326409134482742e-74	166.34430704771097	ENSG00000157106.17	ENSG00000157106
2.479020156533184	10.72414002385848	29.24535630028634	1.5766968673044777e-77	2.7326409134482742e-74	166.3244212578829	ENSG00000012174.12	ENSG00000012174
2.412223639149828	11.09755818865341	29.235488152906335	1.6722673285037393e-77	2.8177704485288e-74	166.26585114668362	ENSG00000128585.18	ENSG00000128585
2.036237445692813	12.18456318594903	29.22766669491541	1.7521292213362114e-77	2.8725448261149886e-74	166.21942018489997	ENSG00000082701.17	ENSG00000082701
2.1808919740064217	12.236651280656345	29.063391317048968	4.6756813477316094e-77	7.463863961931563e-74	165.24248378261544	ENSG00000065613.15	ENSG00000065613
1.987684628533139	11.51141428707045	29.055840482615434	4.891846810085558e-77	7.608703269225383e-74	165.1974995006752	ENSG00000118260.15	ENSG00000118260
2.1313935844597123	12.421482132954	28.97209247933646	8.079285237591961e-77	1.2252236062808206e-73	164.69809721021133	ENSG00000056097.16	ENSG00000056097
2.2806450280836077	10.618895917084428	28.967153892670577	8.322120698998866e-77	1.2312679063445641e-73	164.6686206318501	ENSG00000157450.16	ENSG00000157450
2.0594786824032343	12.072645021876683	28.892622094144933	1.3016270991266564e-76	1.8799214245957844e-73	164.22340242214145	ENSG00000062650.19	ENSG00000062650
2.456858163243286	9.418503634306605	28.85301281360224	1.6513541525428142e-76	2.3295614626336542e-73	163.98651569616837	ENSG00000147124.12	ENSG00000147124
2.1886380392397924	11.219901324271614	28.779770618941164	2.5655024037135038e-76	3.536894904755935e-73	163.5479731987926	ENSG00000179119.15	ENSG00000179119
2.383982453734065	11.551048545309111	28.775853537125013	2.626716043200875e-76	3.5408132262347804e-73	163.52450070687277	ENSG00000114331.15	ENSG00000114331
2.2921262318444193	13.258285049507782	28.762836604521205	2.8408614676318185e-76	3.746231665794481e-73	163.44648515337113	ENSG00000061676.15	ENSG00000061676
2.5465016235521327	11.164501577111997	28.738537230289996	3.2886118454099495e-76	4.244408394522714e-73	163.30079337229046	ENSG00000113615.13	ENSG00000113615
2.3751248577199635	10.191469838299422	28.725655808681363	3.5540268071056873e-76	4.491401377479812e-73	163.2235305526251	ENSG00000153107.13	ENSG00000153107
2.1282701965189625	11.167510190168526	28.69825790005501	4.1922273566885654e-76	5.10711812894347e-73	163.0591294015583	ENSG00000129315.11	ENSG00000129315
2.7220886031909903	12.415633748155582	28.697571020219183	4.2096258893368527e-76	5.10711812894347e-73	163.05500658348828	ENSG00000160551.12	ENSG00000160551
2.2416161624276016	11.50491340464916	28.684189923640403	4.5633990730681726e-76	5.427760544555204e-73	162.97467835226638	ENSG00000084093.19	ENSG00000084093
2.1460324674361155	11.162600968515358	28.619678544777095	6.735606501006683e-76	7.857344045212796e-73	162.58709764999418	ENSG00000196455.8	ENSG00000196455
